"codigo";"Marca";"descripcion";"cantidad";"precio"
"202";"(Ref: 463985)";"Sopraval";"Carne Molida Pechuga de Pavo";"";"$3.590"
"203";"(Ref: 612179)";"Ariztía";"Filetes de Pechuga de Pavo";"700 g";"$3.390"
"204";"(Ref: 463959)";"Sopraval";"Lomo de Pavo Easy Cook Display";"1 Kg";"$7.190"
"205";"(Ref: 448526)";"Ariztía";"Pechuga Deshuesada Pavo";"1.6 Kg";"$4.990"
"206";"(Ref: 463965)";"Sopraval";"Carne de Trutro de Pavo Picada Bandeja";"470 g";"$2.790"
"207";"(Ref: 464015)";"Sopraval";"Pechuga Pavo Easy Cook Caja";"1 Kg";"$8.390"
"208";"(Ref: 454761)";"Ariztía";"Bistec Pechuga de Pavo";"450 g";"$3.290"
"209";"(Ref: 639203)";"Butterball";"Pechuga Deshuesada Pavo";"1,36 Kg";"$5.990"
"210";"(Ref: 621313)";"Ariztía";"Bistec de Trutro de Pavo";"700 g";"$2.790"
"211";"(Ref: 308622)";"Ariztía";"Filetes Pechuga de Pavo Light";"600 g";"$3.990"
"212";"(Ref: 308615)";"Ariztía";"Bistec Pechuga de Pavo Light";"600 g";"$3.990"
"213";"(Ref: 654254)";"Ariztía";"Carne Molida de Trutro de Pavo";"470 g";"$1.590"
"214";"(Ref: 581443)";"Sopraval";"Carne Molida Casera Trutro Pavo";"470 g";"$2.290"
"215";"(Ref: 554833)";"Ariztía";"Albóndigas de Pavo 12 Un) Bolsa";"600 g";"$3.290"
"216";"(Ref: 450547)";"Sopraval";"Pechuga de Pavo deshuesada congelada";"2.5 Kg";"$11.725"
"217";"(Ref: 463973)";"Sopraval";"Costillitas de Pavo Sureñas Bandeja";"800 g";"$4.290"
"218";"(Ref: 463984)";"Sopraval";"Filete de Pechuga Pavo Clásica";"";"$5.120"
"219";"(Ref: 464141)";"Sopraval";"Osobuco de Pavo";"500 g";"$3.390"
"220";"(Ref: 639201)";"Butterball";"Albondiga Pavo";"680 g";"$1.500"
"221";"(Ref: 639200)";"Butterball";"Albondiga Italiana Pavo";"450 g";"$1.500"
"222";"(Ref: 309114)";"Sopraval";"Bistec Pechuga De Pavo";"450 g";"$1.590"
"223";"(Ref: 581442)";"Sopraval";"Molida Mexicana de Pavo";"470 g";"$2.290"
"224";"(Ref: 631411)";"Sopraval";"Albondigas de Pavo";"420 g";"$2.390"
"225";"(Ref: 594986)";"Ariztía";"Lomo de Pavo con Piel";"1 Kg";"$3.390"
"226";"(Ref: 622366)";"Sopraval";"Truto Corto Deshuesado";"500 g";"$3.590"
"227";"(Ref: 286351)";"Sopraval";"Trutro Corto Parrillero Pavo";"1.0 Kg";"$4.290"
"228";"(Ref: 463975)";"Sopraval";"Costilla Pavo Clásica";"";"$4.290"
"229";"(Ref: 639204)";"Butterball";"Pechuga Deshuesada Pavo Cajún";"1,36 Kg";"$5.990"
"230";"(Ref: 286656)";"Sopraval";"Pechuga a la Dijon Easy Cook Pote 1 Kg";"1 Kg";"$8.490"
"231";"(Ref: 522716)";"Butterball";"Pechuga de Pavo deshuesada congelada americana";" 2.2 Kg";"$10.098"
"232";"(Ref: 522713)";"Butterball";"Pechuga de Pavo entera congelada americana";" 4.1 Kg";"$14.719"
"233";"(Ref: 449968)";"Sopraval";"Pechuga de Pavo Entera Congelada Bolsa";"4,0 Kg";"$14.760"
"234";"(Ref: 450091)";"Sopraval";"Pavo entero congelado";" 6 Kg";"$15.540"
"235";"(Ref: 521603)";"Butterball";"Pavo Entero Congelado Americano";"8 Kg";"$15.920"
"236";"(Ref: 448525)";"Ariztía";"Pechuga Entera Pavo";"4 Kg";"$17.160"
"237";"(Ref: 503151)";"Lider";"Trozos de Salmón Importado Bolsa";"500 g";"$4.990"
"238";"(Ref: 542060)";"Lider";"Congelado Reineta Filete";"";"$4.590"
"239";"(Ref: 403739)";"Lider";"Cola de Camarón Cocido Pelado 71/90 Bolsa";"1 Kg";"$10.990"
"240";"(Ref: 259572)";"El Golfo";"Filetes de Reineta Bolsa";"500 g";"$4.590"
"241";"(Ref: 308567)";"Super Salmón";"Congelado Salmón Filete Trozo Super Salmón Bolsa";"500 g";"$5.990"
"242";"(Ref: 542070)";"Lider";"Filetes de Merluza con Piel Bolsa";"500 g";"$2.490"
"243";"(Ref: 646079)";"Lider";"Atun Trozos";"400 g";"$4.990"
"244";"(Ref: 259512)";"El Golfo";"Filete Apanado de Merluza Bolsa";"500 g";"$3.790"
"245";"(Ref: 259537)";"El Golfo";"Merluza Filete con Piel Bolsa";"500 g";"$3.590"
"246";"(Ref: 549771)";"Lider";"Filetes de Tilapia sin Piel Bolsa";"500 g";"$2.690"
"247";"(Ref: 561186)";"Lider";"Filete de Merluza sin Piel Bolsa";"500 g";"$3.490"
"248";"(Ref: 553929)";"Lider";"Camarón Pelado Extra Grande Bolsa";"500 g";"$7.990"
"249";"(Ref: 259584)";"El Golfo";"Congelado Salmón En Porciones El Golfo Bolsa";"500 g";"$5.190"
"250";"(Ref: 259500)";"El Golfo";"Varitas de Merluza Bolsa";"38 Un";"$4.890"
"251";"(Ref: 308563)";"Super Salmón";"Congelado Salmón Filete Bolsa";"500 g";"$5.990"
"252";"(Ref: 382018)";"Lider";"Camarones Congelados Cocidos y Pelados 100/200 Bolsa";"200 g";"$2.190"
"253";"(Ref: 563051)";"Lider";"Salmón en Trozos Bolsa";"500 g";"$5.290"
"254";"(Ref: 454231)";"Lider";"Camarón Importado Cocido con Cascara 41/50 Bolsa";"1 Kg";"$10.490"
"255";"(Ref: 633609)";"Lider";"Merluza Austral con piel";"500 g";"$5.990"
"256";"(Ref: 463644)";"Lider";"Camarón Crocante Apanado Sin Cola";"500 g";"$4.690"
"257";"(Ref: 607137)";"Lider";"Salmón Ahumado Rebanado Natural Doypack";"100 g";"$2.690"
"258";"(Ref: 646693)";"El Golfo";"Nuggets De Merluza";"500 g";"$1.820"
"259";"(Ref: 503071)";"Lider";"Filetes de Pescado Apanado Bolsa";"500 g";"$2.490"
"260";"(Ref: 259224)";"El Golfo";"Coctelitos de Merluza Bolsa";"500 g";"$2.790"
"261";"(Ref: 259487)";"El Golfo";"Dinos de Merluza Bolsa";"440 g";"$2.490"
"262";"(Ref: 259525)";"El Golfo";"Congelado Camarón IQF El Golfo Bolsa";"200 g";"$2.490"
"263";"(Ref: 609794)";"Lider";"Carpaccio de Salmón Doypack";"100 g";"$2.690"
"264";"(Ref: 542072)";"Lider";"Congelado Pangasius Filete Sin Piel";"";"$2.690"
"265";"(Ref: 596901)";"Lider";"Mariscos Surtidos Bolsa";"500 g";"$2.890"
"266";"(Ref: 463641)";"Lider";"Camarón Cola Apanado Bolsa";"500 g";"$4.690"
"267";"(Ref: 246101)";"El Golfo";"Hamburguesas Doradas de Merluza Bolsa";"200 g";"$1.290"
"268";"(Ref: 607957)";"Lider";"Camarón Crudo 21/25";"500 g";"$5.990"
"269";"(Ref: 637439)";"Lider";"Albacora";"500 g";"$6.490"
"270";"(Ref: 646694)";"El Golfo";"Croqueta de Merluza";"100 g";"$820"
"271";"(Ref: 259475)";"El Golfo";"Pececitos Apanados 10 Unidades) Bolsa";"500 g";"$2.190"
